Name,Latitude,Longitude,Earliest age in sample,Latest age in sample,Modern Country,Direct / indirect,Exact Age / Minimum Age / Max Age,Calibrated,Kind,Figurative
"Moonface site, Queensland, Australia",-21.5097,140.6679,796,796,Australia,Direct,Exact age,Yes,Painting,Yes
"Moses Cave, Arnhem Land, Northern Territory, Australia",-12.430204,130.882379,274,274,Australia,Direct,Exact age,Yes,Beeswax,No
"Mungana Site, Queensland, Australia",-17.118416,144.398988,3644,1177,Australia,Direct,Exact age,Yes,Drawing,No
"Nawarla Gabarnmang, Jawoyn Country, Arnhem Land Australia",-12.1685,133.8335,27630,27630,Australia,Direct,Exact age,Yes,Painting,N/A
Pedra Cuberta,43.089554,-8.984605,5775,5620,Spain,Direct,Exact,Yes,Painting,Yes
"Pedra da Moura, Vimianzo, A Coruña, Spain",43.081351,-8.977859,5745,5745,Spain,Direct,Exact age,Yes,Painting,N/A
"Qurta, Egypt",24.629167,32.9625,17000,10000,Egypt,Direct,Exact Age,Yes,Petroglyph,Yes
"Racecourse Site, Queensland, Australia",-17.1747,144.4994,2031,2031,Australia,Direct,Exact Age,Yes,Drawing,No
"RSA TYN2 , Drakensberg Mountains, Eastern Cape, South Africa",-29.466667,29.266667,2009,1971,South Africa,Direct,Exact age,Yes,Paintings,Unknown
"Serpent's Glen 1, Wiluna, Western Australia",-25.216667,120.75,3417,377,Australia,Direct,Exact Age,Yes,Painting,No
"Tennessee, Cumberland Plateau",35.949603,-85.027047,5698,N/A,USA,Direct,Exact Age,Yes,Charcoal pictograph,Yes
"Urdiales, Spain",43.368822,-3.215635,15223,15223,Spain,Direct,Exact age,Yes,Painting,Yes
"Villars, France",45.442277,0.785135,21735,17473,France,Direct,Exact age,Yes,Drawings and torch rubbings,No
"Waterfall Cave, New South Wales, Australia",-35.42,150.11,604,N/A,Australia,Direct,Exact Age,Yes,Painting,No
"Wurik (Mann River E1002, 1004, 1005)., Northern Territory, Australia/Yikarrakkal (Mann River A1005), Northern Territory, Australia",-12.219481,134.143519,646,183,Australia,Direct,Exact Age,Yes,Beeswax,Yes
"Yam Camp, Cape York, Queensland, Australia",-15.7823,144.2341,682,602,Australia,Direct,"Exact Age, but latest date is minimum age",Yes,Painting,Yes
